#Label,Size,Colour,x,y,Level0,Level1
TIF,42,0,,,S&P 500,Consumer Cyclical
TJX,478,1,,,S&P 500,Consumer Cyclical
TMK,36,0,,,S&P 500,Financial Services
TMO,389,1,,,S&P 500,Healthcare
TPR,43,0,,,S&P 500,Consumer Cyclical
TRIP,33,1,,,S&P 500,Consumer Cyclical
TROW,94,0,,,S&P 500,Financial Services
TRV,138,0,,,S&P 500,Financial Services
TSCO,44,1,,,S&P 500,Consumer Cyclical
TSN,86,0,,,S&P 500,Consumer Defensive
TSS,64,0,,,S&P 500,Financial Services
TTWO,52,0,,,S&P 500,Technology
TWTR,93,1,,,S&P 500,Technology
TXN,391,0,,,S&P 500,Technology
TXT,49,0,,,S&P 500,Industrials
UA,31,1,,,S&P 500,Consumer Cyclical
UAA,34,1,,,S&P 500,Consumer Cyclical
UAL,100,1,,,S&P 500,Industrials
UDR,49,1,,,S&P 500,Real Estate
UHS,48,1,,,S&P 500,Healthcare
ULTA,63,1,,,S&P 500,Consumer Cyclical
UNH,1041,1,,,S&P 500,Healthcare
UNM,27,0,,,S&P 500,Financial Services
UNP,438,1,,,S&P 500,Industrials
UPS,358,0,,,S&P 500,Industrials
URI,36,0,,,S&P 500,Industrials
USB,328,0,,,S&P 500,Financial Services
UTX,409,0,,,S&P 500,Industrials
V,1284,1,,,S&P 500,Financial Services
VAR,45,0,,,S&P 500,Healthcare
VFC,124,0,,,S&P 500,Consumer Cyclical
VIAB,40,0,,,S&P 500,Consumer Cyclical
VLO,135,0,,,S&P 500,Energy
VMC,55,0,,,S&P 500,Basic Materials
VNO,53,0,,,S&P 500,Real Estate
VRSK,78,1,,,S&P 500,Industrials
VRSN,78,1,,,S&P 500,Technology
VRTX,180,1,,,S&P 500,Healthcare
VTR,95,1,,,S&P 500,Real Estate
VZ,1018,1,,,S&P 500,Communication Services
WAT,61,0,,,S&P 500,Healthcare
WBA,286,0,,,S&P 500,Consumer Defensive
WCG,51,1,,,S&P 500,Healthcare
WDC,47,0,,,S&P 500,Technology
WEC,99,1,,,S&P 500,Utilities
WELL,115,1,,,S&P 500,Real Estate
WFC,953,0,,,S&P 500,Financial Services
WHR,30,0,,,S&P 500,Consumer Cyclical
WLTW,88,0,,,S&P 500,Financial Services
WM,165,1,,,S&P 500,Industrials
WMB,115,0,,,S&P 500,Energy
WMT,1158,0,,,S&P 500,Consumer Defensive
WRK,42,0,,,S&P 500,Consumer Cyclical
WU,34,0,,,S&P 500,Financial Services
WY,73,0,,,S&P 500,Basic Materials
WYNN,46,0,,,S&P 500,Consumer Cyclical
XEC,25,0,,,S&P 500,Energy
XEL,116,1,,,S&P 500,Utilities
XLNX,93,1,,,S&P 500,Technology
XOM,1288,0,,,S&P 500,Energy
XRAY,36,0,,,S&P 500,Healthcare
XRX,20,0,,,S&P 500,Technology
XYL,51,0,,,S&P 500,Industrials
YUM,126,1,,,S&P 500,Consumer Cyclical
ZBH,92,0,,,S&P 500,Healthcare
ZION,34,0,,,S&P 500,Financial Services
ZTS,176,1,,,S&P 500,Healthcare
